SingleEle  EleTau    OR        AND      
953        1319      1319      953      
Total counts for L1_VBF_DoubleJets38_Mass_Min460_LooseIsoEG12
VBF+Ele    TripleOR  Unique    Gain     
806        1597      278       21.1%
Total counts for L1_VBF_DoubleJets40_Mass_Min460_LooseIsoEG12
772        1587      268       20.3%
Total counts for L1_VBF_DoubleJets42_Mass_Min460_LooseIsoEG12
733        1573      254       19.3%
Total counts for L1_VBF_DoubleJets32_Mass_Min440_LooseIsoEG14
958        1634      315       23.9%
Total counts for L1_VBF_DoubleJets34_Mass_Min440_LooseIsoEG14
881        1606      287       21.8%
Total counts for L1_VBF_DoubleJets36_Mass_Min440_LooseIsoEG14
829        1587      268       20.3%
Total counts for L1_VBF_DoubleJets30_Mass_Min320_IsoEG10
1115       1741      445       34.3%
