SingleEle  EleTau    OR        AND      
856        914       1099      671      
VBF+Ele    TripleOR  Unique    Gain     
Total counts for L1_VBF_DoubleJets38_Mass_Min460_LooseIsoEG12
806        1455      356       32.4%
Total counts for L1_VBF_DoubleJets40_Mass_Min460_LooseIsoEG12
772        1442      343       31.2%
Total counts for L1_VBF_DoubleJets42_Mass_Min460_LooseIsoEG12
733        1422      323       29.4%
Total counts for L1_VBF_DoubleJets32_Mass_Min440_LooseIsoEG14
958        1513      414       37.7%
Total counts for L1_VBF_DoubleJets34_Mass_Min440_LooseIsoEG14
881        1476      377       34.3%
Total counts for L1_VBF_DoubleJets36_Mass_Min440_LooseIsoEG14
829        1450      351       31.9%
Total counts for L1_VBF_DoubleJets30_Mass_Min320_IsoEG10
1115       1645      546       49.7%
