SingleEle  EleTau    OR        AND      
861        921       1109      673      
VBF+Ele    TripleOR  Unique    Gain     
Total counts for L1_VBF_DoubleJets38_Mass_Min460_LooseIsoEG12
830        1487      378       34.1%
Total counts for L1_VBF_DoubleJets40_Mass_Min460_LooseIsoEG12
795        1473      364       32.8%
Total counts for L1_VBF_DoubleJets42_Mass_Min460_LooseIsoEG12
754        1451      342       30.8%
Total counts for L1_VBF_DoubleJets32_Mass_Min440_LooseIsoEG14
984        1547      438       39.5%
Total counts for L1_VBF_DoubleJets34_Mass_Min440_LooseIsoEG14
905        1508      399       36.0%
Total counts for L1_VBF_DoubleJets36_Mass_Min440_LooseIsoEG14
851        1480      371       33.5%
Total counts for L1_VBF_DoubleJets30_Mass_Min320_IsoEG10
1156       1693      584       52.7%
